#csv_version,1.0.0
#measurement,"{""schema_version"":""1.0.0"",""exported_at"":""2024-01-26T17:45:33.608518Z"",""appPlatform"":""ios"",""appVersion"":""1.4.1"",""owner"":{""first_name"":""Fiaz"",""last_name"":""Shah""},""data"":{""id"":17543,""name"":""Cow Sticker"",""measurement_type"":""take a smell"",""started_at"":""2024-01-26T17:13:48.424Z"",""stopped_at"":""2024-01-26T17:44:50.259Z"",""connection_type"":""bluetooth"",""measurement_size"":""317.1"",""measurement_duration"":1861,""fan_state"":3,""comment"":null,""device_info"":{""id"":754,""mac_address"":""10:97:BD:36:79:14"",""serial_number"":""SI2205-1474"",""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1""},""device_firmware_info"":{""id"":4,""name"":""SI-Firmware"",""version"":""2.1.1""},""detectors_info"":[{""id"":2430,""detector_position"":""X1"",""detector"":{""id"":2421,""slot_id"":""10"",""batch_id"":""0000018"",""production_detector_id"":""00126"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2431,""detector_position"":""X2"",""detector"":{""id"":2424,""slot_id"":""01"",""batch_id"":""0000019"",""production_detector_id"":""00228"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2432,""detector_position"":""X3"",""detector"":{""id"":2422,""slot_id"":""08"",""batch_id"":""0000020"",""production_detector_id"":""00048"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":2433,""detector_position"":""X4"",""detector"":{""id"":2423,""slot_id"":""01"",""batch_id"":""0000021"",""production_detector_id"":""00089"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":3469,""category"":null,""is_public"":false,""name"":""Cow Sticker"",""parent_substance_id"":null,""odor_name"":null,""taste_name"":null,""additional_information"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[]}}"
#fan_level,3
#baseLevel|2024-01-26T17:13:48.424349Z,59760.76,59767.21,6569.36,6570.04,6568.61,3964.59,3964.32,3980.66,15518.42,15532.17,15515.79,4118.83,4118.46,4117.73,6961.05,6961.3,112306.91,112296.43,17068.36,17077.95,17061.81,4020.57,3999.22,3998.41,5356.08,5354.61,5355.23,7734.66,7730.68,7733.37,21760.47,21752.55,50334.71,50388.59,12664.62,12677.01,12664.93,6547.23,6538.81,6538.96,10488.82,10484.83,10484.89,8435.2,8432.97,8434.21,110359.59,110346.34,5509.38,5505.3,1991.09,1989.57,1987.13,6910.07,6901.47,6911.68,3610.22,3608.42,3609.56,4090.73,4092.68,4091.2,8312.43,8313.91,31.25,28.52
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2024-01-26T17:13:48.424349Z,59760.76,59767.21,6569.36,6570.04,6568.61,3964.59,3964.32,3980.66,15518.42,15532.17,15515.79,4118.83,4118.46,4117.73,6961.05,6961.3,112306.91,112296.43,17068.36,17077.95,17061.81,4020.57,3999.22,3998.41,5356.08,5354.61,5355.23,7734.66,7730.68,7733.37,21760.47,21752.55,50334.71,50388.59,12664.62,12677.01,12664.93,6547.23,6538.81,6538.96,10488.82,10484.83,10484.89,8435.2,8432.97,8434.21,110359.59,110346.34,5509.38,5505.3,1991.09,1989.57,1987.13,6910.07,6901.47,6911.68,3610.22,3608.42,3609.56,4090.73,4092.68,4091.2,8312.43,8313.91,31.25,28.52
2024-01-26T17:13:51.631831Z,59842.59,59793.92,6599.39,6592.12,6599.27,3977.75,3977.63,3977.92,15540.46,15531.34,15549.76,4121.87,4125.74,4122.2,6973.8,6966.93,112343.02,112339.36,17072.08,17072.06,17077.65,4016.74,3992.61,3997.04,5357.82,5357.56,5357.34,7737.63,7736.67,7739.12,21739.79,21754.95,50336.05,50392.16,12660.05,12671.22,12682.8,6542.58,6548.77,6540.83,10495.75,10494.0,10492.92,8438.82,8442.55,8436.4,110367.31,110253.84,5505.95,5500.94,1989.66,1993.58,1993.09,6920.44,6919.55,6920.01,3610.65,3606.46,3612.16,4097.72,4096.23,4097.26,8320.0,8318.39,31.3,28.51
2024-01-26T17:13:54.902830Z,59837.68,59771.13,6613.19,6608.57,6612.37,3983.37,3984.02,3984.51,15569.44,15552.06,15553.42,4125.82,4126.91,4121.34,6971.54,6980.85,112395.2,112443.84,17092.02,17082.97,17088.86,4020.53,4013.89,3999.83,5359.23,5359.9,5359.75,7738.08,7723.88,7738.07,21777.45,21750.21,50389.78,50385.37,12671.59,12674.52,12673.94,6542.39,6543.77,6534.85,10494.72,10487.8,10496.03,8437.97,8448.48,8435.17,110416.34,110303.44,5508.02,5502.4,1992.01,1994.43,1994.63,6926.01,6924.96,6926.09,3615.24,3609.52,3615.7,4103.37,4103.25,4104.91,8324.36,8320.73,31.27,28.52
2024-01-26T17:13:58.173643Z,59831.86,59792.74,6634.81,6625.47,6634.15,3989.64,3990.04,3990.63,15571.71,15569.5,15568.42,4129.76,4134.36,4130.23,6977.38,6967.33,112453.14,112286.81,17080.5,17062.67,17085.65,4016.79,4020.03,4013.97,5361.8,5355.08,5361.65,7731.39,7743.3,7732.37,21763.25,21741.59,50412.32,50380.91,12678.68,12664.7,12678.83,6536.32,6544.53,6535.96,10503.05,10488.71,10501.93,8434.23,8450.78,8437.07,110472.77,110267.62,5509.72,5502.44,1998.12,1996.46,1994.52,6931.75,6931.24,6928.49,3613.83,3618.45,3623.05,4106.86,4107.03,4107.6,8329.51,8327.36,31.3,28.52
2024-01-26T17:14:01.474122Z,59868.48,59839.25,6656.5,6647.03,6656.5,3996.78,3996.16,3996.34,15590.05,15587.39,15589.87,4138.22,4138.33,4137.71,6981.8,6973.2,112353.34,112218.5,17093.97,17080.42,17089.86,4024.22,4021.69,4023.29,5364.39,5370.49,5364.82,7747.59,7745.79,7744.82,21775.54,21778.49,50393.91,50424.86,12678.55,12686.22,12675.26,6547.36,6538.78,6547.56,10495.53,10508.16,10496.04,8459.63,8445.84,8455.56,110285.54,110422.84,5505.67,5511.98,1997.1,1995.93,1995.46,6937.57,6938.19,6939.72,3622.5,3622.15,3623.05,4119.44,4114.76,4114.67,8335.59,8337.43,31.3,28.49
2024-01-26T17:14:04.803720Z,59869.8,59913.31,6671.82,6680.29,6671.09,3996.79,4021.53,4025.74,15606.39,15620.4,15607.3,4149.94,4144.71,4149.23,6987.83,6997.22,112320.28,112458.69,17099.64,17114.03,17098.45,4027.8,4021.68,4024.02,5366.93,5372.73,5366.81,7759.71,7749.88,7760.2,21769.77,21801.27,50414.19,50428.16,12689.67,12698.87,12690.38,6559.78,6549.13,6556.49,10512.33,10519.02,10510.25,8473.53,8459.53,8474.0,110443.93,110533.04,5516.22,5523.39,2001.66,1999.46,1996.95,6943.39,6947.59,6943.83,3620.85,3619.21,3626.12,4122.4,4122.46,4117.9,8336.3,8333.11,31.28,28.52
2024-01-26T17:14:08.133641Z,59929.71,59890.77,6701.57,6693.25,6702.59,4032.48,4027.43,4030.23,15628.69,15638.15,15629.14,4151.97,4151.43,4154.71,6993.74,6999.31,112341.75,112402.2,17109.6,17115.99,17099.86,4026.01,4021.41,4021.82,5368.96,5372.64,5369.16,7758.43,7752.43,7756.94,21790.26,21798.35,50432.85,50470.41,12694.35,12699.77,12691.11,6556.09,6548.87,6554.97,10519.36,10521.1,10513.28,8472.56,8464.73,8471.62,110411.16,110485.55,5516.54,5519.81,2000.26,1998.72,1998.52,6944.52,6953.38,6963.73,3629.79,3629.43,3628.99,4122.06,4126.5,4130.96,8341.58,8345.17,31.25,28.52
2024-01-26T17:14:11.433997Z,59952.6,59984.22,6729.35,6729.88,6731.67,4035.36,4031.06,4035.3,15634.59,15646.52,15628.32,4157.32,4153.89,4158.55,6989.42,6999.42,112266.55,112372.95,17091.34,17113.91,17096.8,4025.83,4019.74,4023.86,5365.85,5372.4,5365.93,7750.12,7739.85,7752.86,21761.37,21792.84,50400.21,50456.36,12685.37,12699.51,12683.12,6555.36,6545.0,6554.79,10512.52,10524.37,10510.67,8473.45,8460.58,8473.81,110326.69,110439.41,5512.34,5518.9,2000.94,1999.82,1999.89,6962.04,6959.54,6961.48,3634.45,3634.5,3632.77,4129.99,4130.19,4129.74,8347.96,8346.55,31.29,28.57
2024-01-26T17:14:14.764074Z,59971.47,59998.78,6756.26,6747.64,6747.49,4040.27,4039.66,4039.4,15663.95,15648.36,15661.62,4159.97,4162.19,4158.87,7003.56,6995.46,112298.39,112257.54,17110.07,17095.12,17114.59,4024.44,4024.97,4019.46,5373.84,5368.46,5374.1,7746.11,7756.99,7744.15,21786.4,21756.18,50439.09,50423.81,12705.14,12689.3,12703.72,6549.12,6555.43,6546.75,10530.93,10516.44,10528.31,8465.09,8477.04,8462.73,110495.27,110343.95,5519.97,5513.31,2005.27,2003.43,2001.07,6972.11,6969.19,6965.81,3630.93,3629.63,3641.82,4134.8,4136.54,4134.03,8348.6,8349.85,31.21,28.54
2024-01-26T17:14:18.033489Z,60014.76,59952.46,6769.24,6758.2,6769.2,4043.23,4047.79,4042.99,15678.85,15660.1,15678.41,4163.97,4168.6,4163.91,7007.86,6998.58,112374.82,112223.25,17124.44,17102.54,17131.44,4023.74,4024.76,4019.8,5376.66,5369.78,5377.38,7748.74,7760.28,7750.24,21794.96,21775.45,50436.12,50408.21,12708.96,12691.53,12711.62,6550.02,6556.01,6548.52,10534.26,10520.08,10532.02,8469.33,8484.88,8472.85,110566.38,110404.66,5523.5,5517.24,2007.59,2005.36,2003.04,6977.73,6977.27,6976.23,3633.79,3633.84,3640.82,4143.15,4140.2,4140.74,8355.2,8348.91,31.28,28.54
